"","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","AvgHrs"
"1830",44,"Stayed","Travel-Rarely","Sales",24,"Doctor","Medical","Female","1","Sales Executive","Single",25660,9,11,"1",10,3,5,2,3,"Very High","Medium","Good","High","Excellent",6.3
"1831",25,"Stayed","Travel-Rarely","Research & Development",17,"Bachelor","Medical","Male","1","Laboratory Technician","Single",199260,7,11,"3",6,5,4,0,1,"Low","Low","Good","Very High","Excellent",6.38
"1832",33,"Stayed","Travel-Rarely","Research & Development",8,"Master","Life Sciences","Male","3","Laboratory Technician","Divorced",24510,1,13,"1",9,3,9,0,8,"Low","Low","Better","Medium","Excellent",6.02
"1833",35,"Stayed","Travel-Rarely","Sales",6,"Master","Medical","Female","2","Manager","Single",94190,1,24,"1",6,5,6,1,1,"High","Low","Good","Medium","Outstanding",6.9
"1834",36,"Stayed","Travel-Rarely","Sales",10,"Master","Marketing","Male","3","Manager","Married",86860,1,13,"0",18,2,18,4,11,"Medium","Very High","Good","High","Excellent",9.71
"1835",32,"Stayed","Travel-Rarely","Research & Development",3,"Master","Medical","Female","4","Sales Executive","Divorced",30380,2,20,"0",8,3,5,0,3,"Medium","Very High","Good","High","Outstanding",7.83
"1836",30,"Stayed","Travel-Frequently","Research & Development",4,"Doctor","Medical","Male","5","Sales Representative","Divorced",30580,9,14,"1",10,2,5,0,3,"Medium","Very High","Good","High","Excellent",6.38
"1837",53,"Stayed","Travel-Rarely","Sales",6,"Bachelor","Marketing","Male","4","Sales Executive","Married",23250,7,18,"1",35,1,5,0,4,"Low","Very High","Better","Very High","Excellent",10.36
"1838",45,"Stayed","Travel-Rarely","Research & Development",1,"Doctor","Technical Degree","Male","2","Healthcare Representative","Divorced",20880,4,15,"3",18,2,5,0,2,"Very High","Low","Better","High","Excellent",8.49
"1839",32,"Stayed","Travel-Rarely","Sales",10,"Bachelor","Marketing","Female","1","Human Resources","Married",30720,5,12,"0",9,4,5,1,3,"High","High","Good","Low","Excellent",6.63
"1840",52,"Stayed","Travel-Frequently","Research & Development",1,"Below College","Life Sciences","Male","2","Laboratory Technician","Married",50060,3,16,"1",31,2,9,0,0,"High","Very High","Better","High","Excellent",7.63
"1841",37,"Stayed","Travel-Rarely","Sales",24,"College","Life Sciences","Female","4","Laboratory Technician","Divorced",42570,4,15,"0",9,2,1,0,0,"Very High","High","Better","High","Excellent",6.1
"1842",28,"Stayed","Travel-Rarely","Research & Development",21,"Master","Life Sciences","Female","1","Healthcare Representative","Divorced",25000,1,16,"2",6,3,5,0,4,"Medium","Very High","Better","High","Excellent",6.29
"1843",22,"Stayed","Travel-Rarely","Research & Development",2,"College","Life Sciences","Male","1","Sales Representative","Married",11020,6,19,"0",4,3,2,2,2,"Very High","Very High","Bad","Medium","Excellent",6.47
"1844",44,"Stayed","Travel-Rarely","Research & Development",22,"Bachelor","Medical","Female","1","Laboratory Technician","Married",104530,2,11,"1",10,2,3,0,2,"Low","Very High","Good","High","Excellent",10.99
"1845",42,"Stayed","Travel-Frequently","Sales",13,"Master","Life Sciences","Female","2","Laboratory Technician","Single",22880,5,16,"1",8,4,2,2,2,"Medium","Very High","Better","Medium","Excellent",8.01
"1846",36,"Stayed","Travel-Rarely","Research & Development",14,"Bachelor","Other","Male","2","Research Scientist","Married",39290,0,24,"0",6,6,5,0,3,"Low","Low","Better","Medium","Outstanding",7.61
"1847",25,"Stayed","Travel-Rarely","Sales",11,"Bachelor","Life Sciences","Female","1","Laboratory Technician","Married",23110,1,11,"1",5,2,5,0,3,"High","Low","Better","High","Excellent",10.4
"1848",35,"Stayed","Travel-Rarely","Research & Development",9,"College","Life Sciences","Female","1","Healthcare Representative","Married",31400,1,13,"1",17,2,17,5,15,"Very High","High","Better","Medium","Excellent",8.78
"1849",35,"Left","Travel-Frequently","Sales",8,"College","Marketing","Female","1","Laboratory Technician","Divorced",36900,1,13,"1",10,2,10,7,8,"Very High","Medium","N/A","Very High","Excellent",9.98
"1850",32,"Stayed","Non-Travel","Research & Development",21,"Bachelor","Life Sciences","Male","1","Sales Executive","Divorced",44500,0,13,"0",4,3,3,0,2,"Very High","Very High","Better","High","Excellent",7.9
"1851",25,"Stayed","Travel-Rarely","Sales",5,"Bachelor","Marketing","Female","4","Research Scientist","Married",27560,1,12,"2",5,2,5,0,3,"High","Low","Best","High","Excellent",7.78
"1852",49,"Stayed","Travel-Rarely","Sales",9,"Bachelor","Technical Degree","Female","2","Sales Representative","Married",190330,2,18,"1",7,5,4,0,2,"High","Low","Better","High","Excellent",7.52
"1853",24,"Stayed","Non-Travel","Research & Development",2,"Doctor","Technical Degree","Male","2","Healthcare Representative","Married",187220,0,22,"1",6,3,5,3,4,"Low","Very High","Good","High","Outstanding",7.59
"1854",32,"Stayed","Travel-Frequently","Research & Development",12,"Doctor","Medical","Male","1","Research Scientist","Married",95470,1,13,"1",10,3,10,5,3,"Medium","Medium","Better","Medium","Excellent",6.82
"1855",38,"Stayed","Travel-Rarely","Sales",22,"College","Medical","Male","1","Sales Executive","Married",137340,0,13,"0",3,3,2,1,2,"Medium","Medium","Better","Very High","Excellent",6.94
"1856",42,"Stayed","Travel-Rarely","Research & Development",18,"Below College","Technical Degree","Female","2","Research Scientist","Married",199990,2,23,"1",17,6,5,1,3,"High","Very High","Good","High","Outstanding",9.6
"1857",31,"Stayed","Travel-Rarely","Research & Development",16,"Bachelor","Life Sciences","Female","3","Sales Executive","Married",22790,3,12,"1",8,3,6,0,2,"Very High","Very High","Better","High","Excellent",10.1
"1858",29,"Left","Travel-Rarely","Sales",3,"Bachelor","Marketing","Male","3","Laboratory Technician","Divorced",59160,6,12,"0",5,2,3,0,2,"Medium","High","Better","High","Excellent",9.41
"1859",53,"Stayed","Travel-Rarely","Research & Development",9,"Bachelor","Life Sciences","Male","1","Sales Representative","Married",20890,5,16,"0",28,2,2,2,2,"Low","Very High","Better","Medium","Excellent",6.41
"1860",35,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Life Sciences","Male","3","Healthcare Representative","Married",167920,3,12,"1",16,3,13,4,8,"Very High","Medium","Better","Very High","Excellent",7.12
"1861",37,"Stayed","Travel-Frequently","Research & Development",13,"Master","Life Sciences","Female","3","Human Resources","Married",35640,5,11,"0",10,1,5,0,0,"High","Very High","Better","Low","Excellent",7.4
"1862",53,"Stayed","Travel-Rarely","Research & Development",1,"Below College","Medical","Male","1","Sales Executive","Single",44250,6,22,"1",33,2,12,3,8,"Very High","Very High","Better","Very High","Outstanding",6.7
"1863",43,"Stayed","Travel-Frequently","Research & Development",1,"Bachelor","Medical","Male","1","Laboratory Technician","Married",52650,4,11,"1",12,4,5,2,2,"Very High","Very High","Good","High","Excellent",7.64
"1864",47,"Stayed","Travel-Rarely","Sales",15,"Master","Marketing","Female","3","Research Director","Married",65530,0,15,"0",8,2,7,7,7,"High","Very High","Better","High","Excellent",10.68
"1865",37,"Stayed","Non-Travel","Research & Development",1,"Doctor","Medical","Female","2","Research Scientist","Single",62610,1,12,"0",10,1,10,0,9,"Low","Medium","Better","High","Excellent",8.28
"1866",50,"Stayed","Non-Travel","Research & Development",17,"Bachelor","Medical","Female","1","Laboratory Technician","Divorced",42980,1,20,"1",31,6,31,14,7,"Low","Low","Better","High","Outstanding",6.58
"1867",39,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Other","Female","3","Human Resources","Married",68040,8,14,"1",13,3,5,0,4,"Very High","Very High","Better","Medium","Excellent",6.93
"1868",33,"Stayed","Travel-Rarely","Sales",7,"Bachelor","Life Sciences","Male","2","Manufacturing Director","Divorced",38150,3,11,"1",7,3,4,0,3,"Very High","Medium","Best","High","Excellent",9.43
"1869",32,"Left","Travel-Rarely","Research & Development",9,"Below College","Medical","Female","1","Laboratory Technician","Single",27410,1,15,"1",1,5,1,0,1,"Low","Very High","Bad","Medium","Excellent",10
"1870",29,"Stayed","Travel-Rarely","Research & Development",5,"Master","Life Sciences","Female","4","Healthcare Representative","Divorced",66730,6,12,"1",8,2,4,0,3,"Low","Very High","Better","Very High","Excellent",6.4
"1871",44,"Stayed","Travel-Rarely","Research & Development",26,"College","Life Sciences","Male","2","Manufacturing Director","Married",76390,1,14,"0",8,6,8,7,1,"Medium","Low","Better","High","Excellent",9.82
"1872",28,"Stayed","Travel-Rarely","Sales",24,"Doctor","Life Sciences","Female","1","Research Scientist","Single",23280,1,11,"2",4,3,4,0,2,"Low","Very High","Better","High","Excellent",6.43
"1873",58,"Left","Travel-Frequently","Sales",9,"College","Technical Degree","Male","1","Sales Executive","Divorced",21530,9,11,"0",3,3,1,0,0,"Very High","Very High","Good","High","Excellent",10.5
"1874",43,"Stayed","Travel-Rarely","Sales",7,"Master","Marketing","Male","2","Sales Executive","Divorced",48760,4,16,"2",4,4,1,0,0,"Low","Medium","Best","High","Excellent",6.6
"1875",20,"Left","Travel-Rarely","Research & Development",11,"Bachelor","Medical","Male","2","Sales Executive","Single",93960,1,12,"0",2,6,2,0,2,"High","High","Good","Low","Excellent",7.13
"1876",21,"Left","Travel-Rarely","Research & Development",1,"Bachelor","Medical","Male","2","Sales Executive","Single",104000,1,13,"1",1,2,1,0,0,"Very High","Very High","Good","High","Excellent",7.93
"1877",36,"Stayed","Travel-Rarely","Research & Development",26,"Master","Medical","Male","1","Laboratory Technician","Married",84740,0,14,"0",17,3,16,4,11,"High","Very High","Good","High","Excellent",10.27
"1878",47,"Stayed","Travel-Rarely","Research & Development",2,"Bachelor","Life Sciences","Male","2","Manufacturing Director","Single",99810,1,21,"1",3,3,3,1,2,"Very High","Very High","Good","High","Outstanding",8.48
"1879",22,"Left","Travel-Rarely","Research & Development",15,"Master","Life Sciences","Female","1","Laboratory Technician","Married",124900,0,13,"0",4,3,3,0,2,"Medium","High","Best","High","Excellent",9.81
"1880",41,"Left","Travel-Rarely","Research & Development",23,"Bachelor","Life Sciences","Female","2","Sales Executive","Divorced",26570,4,11,"0",10,3,7,1,0,"Medium","Very High","Good","Very High","Excellent",10.45
"1881",28,"Stayed","Travel-Rarely","Research & Development",10,"Bachelor","Life Sciences","Female","3","Manager","Divorced",135910,5,20,"1",6,2,2,2,2,"High","High","Better","High","Outstanding",7.68
"1882",39,"Left","Travel-Rarely","Research & Development",10,"Master","Life Sciences","Female","4","Human Resources","Married",66960,7,11,"0",8,3,2,2,2,"Very High","Low","Bad","High","Excellent",10.69
"1883",27,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Medical","Male","1","Research Scientist","Single",20580,1,14,"1",1,5,1,0,0,"Medium","High","Better","High","Excellent",7.7
"1884",34,"Stayed","Travel-Rarely","Research & Development",12,"College","Technical Degree","Male","2","Human Resources","Divorced",88650,1,11,"1",1,0,1,1,0,"Medium","Medium","Better","High","Excellent",7.69
"1885",42,"Stayed","Travel-Rarely","Sales",11,"Below College","Technical Degree","Male","2","Human Resources","Single",59400,7,16,"0",10,2,5,0,3,"High","High","Better","Medium","Excellent",6.94
"1886",33,"Stayed","Travel-Rarely","Sales",2,"Bachelor","Marketing","Female","1","Sales Executive","Single",59140,3,16,"1",6,4,3,0,2,"High","Low","Better","High","Excellent",10.53
"1887",58,"Stayed","Travel-Rarely","Research & Development",2,"Master","Life Sciences","Male","1","Research Scientist","Divorced",26220,2,23,"0",24,3,6,0,4,"High","Medium","Better","High","Outstanding",8.28
"1888",31,"Stayed","Travel-Rarely","Sales",1,"Bachelor","Life Sciences","Female","1","Sales Representative","Married",121850,3,14,"0",13,2,7,5,2,"Medium","High","Best","High","Excellent",6.12
"1889",35,"Stayed","Travel-Rarely","Research & Development",2,"Below College","Life Sciences","Male","3","Healthcare Representative","Married",106090,1,22,"0",10,3,10,0,7,"Very High","Very High","Bad","High","Outstanding",10.39
"1890",49,"Stayed","Travel-Rarely","Research & Development",25,"College","Life Sciences","Female","2","Sales Executive","Married",43450,4,15,"0",29,3,26,1,7,"Low","Medium","Good","Medium","Excellent",6.99
"1891",48,"Stayed","Travel-Rarely","Research & Development",1,"Master","Medical","Male","1","Research Scientist","Married",21770,4,18,"0",13,4,0,0,0,"Very High","High","Good","High","Excellent",6.7
"1892",31,"Stayed","Non-Travel","Research & Development",1,"College","Technical Degree","Female","2","Sales Executive","Married",27930,1,16,"0",9,4,9,0,0,"Very High","High","Good","High","Excellent",7.09
"1893",36,"Stayed","Travel-Rarely","Human Resources",2,"Master","Technical Degree","Male","1","Sales Executive","Single",79180,2,12,"2",8,3,6,0,1,"Medium","Very High","Better","Medium","Excellent",6.52
"1894",38,"Stayed","Travel-Rarely","Sales",6,"Bachelor","Other","Male","2","Sales Executive","Married",87890,1,11,"3",15,4,15,5,11,"Very High","Low","Better","High","Excellent",7.1
"1895",32,"Stayed","Non-Travel","Sales",18,"Bachelor","Marketing","Male","1","Laboratory Technician","Married",23890,6,12,"1",5,4,3,0,2,"High","Medium","Better","Medium","Excellent",7.13
"1896",25,"Left","Travel-Rarely","Research & Development",1,"College","Life Sciences","Male","1","Sales Executive","Married",32120,1,15,"1",1,3,1,0,0,"High","Medium","Better","Medium","Excellent",8.88
"1897",40,"Stayed","Travel-Rarely","Research & Development",1,"Master","Medical","Male","2","Research Scientist","Divorced",192320,2,14,"1",11,3,1,0,0,"Low","Medium","Good","High","Excellent",6.15
"1898",26,"Stayed","Travel-Frequently","Sales",11,"Bachelor","Marketing","Male","2","Healthcare Representative","Single",22670,1,19,"3",7,2,7,0,7,"High","Low","Better","Medium","Excellent",7.62
"1899",41,"Stayed","Travel-Rarely","Research & Development",1,"Master","Medical","Male","1","Research Scientist","Single",195170,2,13,"0",20,5,18,2,17,"Very High","Low","Better","High","Excellent",10.68
"1900",36,"Stayed","Travel-Rarely","Research & Development",9,"Bachelor","Life Sciences","Female","2","Healthcare Representative","Single",24360,4,13,"0",16,3,11,3,9,"High","High","Better","Low","Excellent",7.1
"1901",19,"Left","Travel-Rarely","Research & Development",15,"Bachelor","Life Sciences","Male","2","Research Scientist","Single",160640,1,15,"1",1,3,1,0,0,"Very High","Medium","Best","High","Excellent",10.6
"1902",20,"Left","Travel-Rarely","Research & Development",29,"Bachelor","Life Sciences","Female","3","Laboratory Technician","Single",27070,1,11,"0",1,2,1,0,0,"Low","Low","Better","High","Excellent",6.12
"1903",31,"Stayed","Travel-Rarely","Research & Development",1,"Master","Life Sciences","Male","4","Research Director","Married",190680,0,12,"0",10,1,9,8,5,"Very High","Very High","Bad","High","Excellent",8.31
"1904",40,"Stayed","Travel-Frequently","Sales",1,"Bachelor","Marketing","Male","1","Research Scientist","Divorced",39310,8,19,"0",3,2,1,0,0,"Very High","Medium","Better","Medium","Excellent",8.09
"1905",32,"Stayed","Travel-Rarely","Research & Development",24,"Bachelor","Life Sciences","Male","4","Laboratory Technician","Married",37300,1,25,"1",8,4,8,6,3,"High","Low","Best","High","Outstanding",7.88
"1906",36,"Left","Travel-Rarely","Research & Development",10,"Bachelor","Medical","Male","3","Sales Executive","Married",22320,1,12,"1",16,2,16,3,7,"High","Very High","Better","High","Excellent",9.8
"1907",33,"Stayed","Travel-Rarely","Research & Development",1,"Master","Medical","Female","4","Manufacturing Director","Single",44650,0,13,"0",6,3,5,1,4,"Medium","Very High","Better","High","Excellent",6.03
"1908",37,"Left","Travel-Rarely","Sales",10,"Master","Marketing","Female","3","Human Resources","Married",30720,5,14,"0",17,3,14,11,7,"Low","High","Bad","Medium","Excellent",6.28
"1909",45,"Stayed","Non-Travel","Research & Development",8,"Below College","Life Sciences","Male","2","Sales Executive","Married",33190,1,12,"1",9,3,9,0,8,"High","Medium","Good","High","Excellent",6.27
"1910",29,"Stayed","Travel-Frequently","Research & Development",29,"Below College","Life Sciences","Male","1","Sales Representative","Married",192020,1,12,"0",3,5,3,0,2,"High","N/A","Better","High","Excellent",7.61
"1911",35,"Stayed","Travel-Rarely","Human Resources",1,"Bachelor","Human Resources","Male","3","Laboratory Technician","Married",136750,1,15,"3",5,5,5,1,0,"High","High","Better","Medium","Excellent",6.36
"1912",52,"Stayed","Travel-Rarely","Research & Development",5,"Master","Other","Male","1","Laboratory Technician","Married",29110,2,17,"2",26,3,9,7,8,"Very High","Very High","N/A","High","Excellent",7.02
"1913",58,"Left","Travel-Rarely","Sales",9,"College","Medical","Female","4","Sales Executive","Single",59570,4,14,"1",7,2,1,0,0,"Very High","High","Better","Low","Excellent",7.52
"1914",53,"Stayed","Travel-Rarely","Research & Development",9,"Bachelor","Technical Degree","Male","1","Manager","Divorced",39200,6,16,"1",22,3,17,15,2,"High","High","Best","High","Excellent",6.51
"1915",30,"Stayed","Travel-Rarely","Sales",3,"Master","Marketing","Male","1","Sales Executive","Divorced",64340,5,14,"1",10,3,8,7,7,"High","High","Best","Medium","Excellent",8.01
"1916",38,"Stayed","Non-Travel","Sales",4,"Bachelor","Life Sciences","Male","2","Research Director","Single",100480,1,23,"1",6,2,5,1,3,"High","Very High","Better","High","Outstanding",8.11
"1917",35,"Stayed","Travel-Rarely","Sales",1,"College","Life Sciences","Female","2","Healthcare Representative","Divorced",109380,6,14,"2",12,2,10,0,8,"Very High","Very High","Better","Low","Excellent",7.29
"1918",39,"Stayed","Travel-Rarely","Sales",1,"Below College","Marketing","Male","2","Research Scientist","Single",23400,0,11,"1",9,2,8,0,7,"Low","High","Better","Medium","Excellent",6.52
"1919",40,"Left","Non-Travel","Research & Development",2,"Master","Life Sciences","Male","1","Human Resources","Single",65450,4,15,"0",22,2,1,0,0,"Medium","Medium","Good","High","Excellent",9.5
"1920",47,"Stayed","Travel-Frequently","Research & Development",7,"Master","Life Sciences","Male","3","Sales Executive","Divorced",69310,1,11,"0",20,3,19,2,7,"High","High","Best","High","Excellent",10.11
"1921",36,"Stayed","Non-Travel","Sales",28,"Below College","Life Sciences","Male","2","Research Scientist","Divorced",48980,4,13,"1",12,3,7,0,7,"Low","Very High","Better","High","Excellent",6.76
"1922",31,"Left","Non-Travel","Research & Development",28,"Master","Medical","Male","2","Research Scientist","Single",25930,0,21,"0",4,2,3,1,2,"High","Low","Better","High","Outstanding",8.2
"1923",33,"Stayed","Non-Travel","Sales",15,"Bachelor","Other","Male","4","Research Director","Single",194360,1,19,"2",10,4,10,6,0,"Very High","High","Better","High","Excellent",7.91
"1924",29,"Left","Travel-Rarely","Human Resources",3,"Doctor","Life Sciences","Male","1","Sales Executive","Single",27230,6,11,"1",3,2,0,0,0,"Very High","Low","Better","Medium","Excellent",10.3
"1925",33,"Stayed","Travel-Rarely","Research & Development",2,"College","Technical Degree","Male","2","Laboratory Technician","Single",34790,3,12,"0",5,3,3,0,2,"Medium","Very High","Better","High","Excellent",7.52
"1926",45,"Stayed","Travel-Rarely","Research & Development",26,"Below College","Medical","Female","3","Healthcare Representative","Divorced",27940,3,19,"1",8,2,5,0,2,"Very High","Very High","Better","High","Excellent",7
"1927",50,"Stayed","Travel-Rarely","Sales",10,"Below College","Life Sciences","Female","1","Manufacturing Director","Divorced",52490,9,21,"2",32,2,5,1,3,"Very High","Very High","Good","Medium","Outstanding",7.4
"1928",33,"Stayed","Travel-Frequently","Sales",1,"Bachelor","Marketing","Male","2","Human Resources","Married",21760,1,14,"1",6,2,6,1,2,"High","Medium","Better","Medium","Excellent",8.97
"1929",41,"Stayed","Travel-Frequently","Sales",11,"Bachelor","Other","Male","1","Laboratory Technician","Divorced",168720,2,15,"1",21,2,18,0,11,"Low","High","Best","High","Excellent",7.89
"1930",27,"Stayed","Travel-Rarely","Research & Development",20,"Master","Other","Male","2","Manufacturing Director","Married",34850,9,17,"2",4,2,2,2,2,"High","Medium","Better","High","Excellent",7.09
"1931",45,"Stayed","Non-Travel","Sales",2,"Bachelor","Medical","Female","1","Sales Executive","Married",66440,1,12,"0",9,3,9,0,8,"Very High","Low","Better","Very High","Excellent",8.69
"1932",47,"Stayed","Travel-Rarely","Sales",18,"Master","Medical","Female","2","Research Scientist","Single",55820,1,16,"0",9,3,9,0,7,"Very High","Very High","Better","High","Excellent",8.02
"1933",30,"Left","Travel-Rarely","Sales",2,"Bachelor","Life Sciences","Male","2","Healthcare Representative","Married",40000,4,12,"0",7,5,5,0,1,"Low","High","Better","Medium","Excellent",10.49
"1934",50,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Technical Degree","Female","2","Sales Executive","Married",134960,3,18,"1",22,3,12,1,5,"Very High","High","Better","High","Excellent",9.49
"1935",38,"Stayed","Travel-Frequently","Research & Development",13,"Bachelor","Technical Degree","Male","1","Manufacturing Director","Married",32100,0,17,"2",3,5,2,0,2,"High","High","Good","Medium","Excellent",7.7
"1936",46,"Stayed","Travel-Rarely","Research & Development",28,"Bachelor","Medical","Female","3","Human Resources","Divorced",190450,6,11,"3",13,2,8,0,7,"Very High","High","Better","High","Excellent",6.91
"1937",24,"Stayed","Travel-Rarely","Sales",28,"Bachelor","Life Sciences","Female","1","Healthcare Representative","Divorced",118490,1,16,"1",5,3,4,3,2,"Very High","High","Better","High","Excellent",6.55
"1938",35,"Left","Travel-Rarely","Sales",24,"Bachelor","Medical","Male","3","Healthcare Representative","Divorced",20700,1,13,"3",5,1,4,0,2,"High","Medium","Bad","Medium","Excellent",9.33
"1939",31,"Stayed","Travel-Frequently","Research & Development",5,"College","Technical Degree","Male","2","Sales Executive","Married",65020,1,12,"0",4,3,4,0,3,"High","Low","Better","High","Excellent",6.27
"1940",18,"Stayed","Non-Travel","Sales",5,"Master","Other","Male","2","Manager","Single",32300,1,12,"1",0,3,0,0,0,"Medium","Very High","Better","High","Excellent",6.32
"1941",54,"Stayed","Travel-Rarely","Sales",23,"Bachelor","Medical","Female","1","Laboratory Technician","Married",136030,8,13,"1",22,2,10,0,8,"High","High","Better","High","Excellent",6.6
"1942",35,"Stayed","Travel-Rarely","Research & Development",6,"Master","Medical","Female","1","Manufacturing Director","Divorced",119960,1,19,"2",16,3,16,10,1,"High","High","Good","High","Excellent",9.6
"1943",30,"Stayed","Travel-Rarely","Research & Development",4,"Bachelor","Life Sciences","Female","5","Healthcare Representative","Married",56050,0,12,"1",9,0,8,1,7,"Medium","Low","Good","Medium","Excellent",10.1
"1944",20,"Left","Travel-Rarely","Research & Development",2,"College","Life Sciences","Female","2","Research Scientist","Single",63970,1,17,"1",1,3,1,0,0,"Very High","Low","Better","High","Excellent",8.31
"1945",30,"Left","Travel-Frequently","Research & Development",8,"Master","Medical","Male","1","Sales Executive","Single",191440,0,11,"0",4,3,3,1,2,"Medium","Medium","Better","High","Excellent",7.59
"1946",26,"Stayed","Travel-Rarely","Sales",1,"Bachelor","Marketing","Female","2","Research Scientist","Married",175840,1,20,"0",8,2,8,1,3,"Very High","Very High","Better","High","Outstanding",7.94
"1947",22,"Stayed","Travel-Rarely","Research & Development",8,"Bachelor","Other","Male","2","Sales Representative","Married",49070,1,21,"1",4,2,4,1,1,"Medium","Low","Good","High","Outstanding",7.3
"1948",48,"Stayed","Travel-Rarely","Human Resources",2,"Master","Medical","Male","2","Sales Executive","Single",45540,2,11,"2",19,3,2,2,2,"Low","High","Better","High","Excellent",8.02
"1949",48,"Stayed","Travel-Rarely","Sales",3,"Bachelor","Medical","Male","1","Research Director","Single",54150,7,11,"1",27,1,15,4,8,"High","High","Better","High","Excellent",6.5
"1950",41,"Stayed","Travel-Rarely","Research & Development",2,"Bachelor","Life Sciences","Male","2","Research Scientist","Single",47410,6,16,"0",8,3,2,2,1,"Very High","High","Better","High","Excellent",6.91
"1951",39,"Stayed","Travel-Rarely","Sales",2,"Bachelor","Life Sciences","Male","3","Human Resources","Married",21150,1,18,"0",21,3,21,11,8,"Very High","Very High","Better","Very High","Excellent",7.1
"1952",27,"Stayed","Travel-Rarely","Research & Development",3,"Bachelor","Life Sciences","Male","2","Human Resources","Married",31610,0,13,"2",4,0,3,2,2,"Low","Very High","Better","High","Excellent",7.3
"1953",35,"Stayed","Travel-Rarely","Sales",24,"Bachelor","Medical","Male","5","Sales Executive","Divorced",57450,1,17,"3",3,4,3,1,2,"Medium","Very High","Good","High","Excellent",6.93
"1954",42,"Stayed","Travel-Rarely","Research & Development",23,"Master","Other","Male","1","Research Scientist","Married",23730,6,14,"1",21,3,1,0,0,"Very High","High","N/A","Very High","Excellent",8.01
"1955",50,"Stayed","Travel-Rarely","Sales",27,"Bachelor","Medical","Male","2","Sales Executive","Married",33100,4,22,"1",8,3,1,0,0,"Low","Very High","Better","Very High","Outstanding",6.18
"1956",59,"Stayed","Travel-Rarely","Research & Development",16,"Master","Medical","Female","5","Laboratory Technician","Single",186650,3,12,"0",30,3,5,4,3,"High","Very High","Better","Medium","Excellent",10.12
"1957",37,"Left","Travel-Rarely","Sales",15,"Bachelor","Marketing","Male","2","Laboratory Technician","Married",44850,5,11,"1",15,2,1,0,0,"Low","Medium","Bad","Very High","Excellent",6.59
"1958",55,"Stayed","Travel-Frequently","Research & Development",26,"College","Life Sciences","Female","2","Sales Executive","Married",27890,3,13,"1",17,2,8,6,7,"High","Medium","Better","Medium","Excellent",8.59
"1959",41,"Stayed","Non-Travel","Research & Development",19,"Below College","Life Sciences","Male","2","Research Scientist","Divorced",58280,1,13,"0",21,0,21,5,10,"Medium","High","Better","High","Excellent",6.29
"1960",38,"Stayed","Travel-Rarely","Research & Development",24,"College","Other","Female","1","Laboratory Technician","Single",23260,8,14,"0",19,3,1,0,0,"Medium","Very High","Better","Very High","Excellent",8.4
"1961",26,"Left","Non-Travel","Research & Development",21,"Below College","Life Sciences","Female","1","Manufacturing Director","Single",135250,8,17,"1",7,4,2,2,2,"Medium","Low","Better","Medium","Excellent",7.71
"1962",52,"Left","Travel-Rarely","Research & Development",5,"Master","Medical","Female","4","Human Resources","Married",14200,1,13,"1",33,2,32,6,9,"Low","Very High","Better","Very High","Excellent",6.02
"1963",44,"Stayed","Travel-Rarely","Research & Development",16,"Bachelor","Life Sciences","Female","1","Healthcare Representative","Married",80200,3,11,"1",23,2,12,11,11,"Very High","Very High","Better","High","Excellent",10.9
"1964",50,"Stayed","Non-Travel","Human Resources",2,"College","Life Sciences","Male","1","Laboratory Technician","Married",36880,0,11,"0",19,3,18,0,13,"Very High","High","Better","Medium","Excellent",6.51
"1965",36,"Left","Travel-Rarely","Sales",2,"Master","Technical Degree","Male","4","Sales Executive","Single",54820,1,18,"0",18,3,17,15,14,"High","Low","Better","High","Excellent",7.78
"1966",39,"Stayed","Travel-Frequently","Sales",11,"Bachelor","Marketing","Male","1","Sales Executive","Single",160150,1,11,"0",21,3,21,2,8,"Very High","Low","Better","Very High","Excellent",10.82
"1967",33,"Stayed","Non-Travel","Sales",9,"College","Technical Degree","Male","5","Sales Representative","Single",12000,0,11,"1",3,3,2,2,2,"Medium","Very High","Good","High","Excellent",7.58
"1968",45,"Stayed","Travel-Rarely","Research & Development",7,"College","Other","Male","1","Human Resources","Married",56610,3,12,"0",26,2,9,1,1,"Very High","Very High","Best","Medium","Excellent",7.4
"1969",32,"Stayed","Non-Travel","Research & Development",15,"Bachelor","Medical","Male","2","Manager","Single",69290,9,20,"0",10,6,8,7,7,"Very High","High","Better","Low","Outstanding",7.23
"1970",34,"Stayed","Travel-Rarely","Sales",6,"Master","Marketing","Male","2","Research Director","Divorced",96130,0,12,"1",16,5,15,0,9,"Medium","Very High","Good","Medium","Excellent",7.09
"1971",59,"Stayed","Travel-Rarely","Research & Development",5,"Bachelor","Life Sciences","Male","2","Research Scientist","Married",56740,3,12,"0",14,6,6,0,4,"Medium","Very High","Bad","High","Excellent",8.1
